ds,y_actual,y_predicted
2023-01-31,144.2899932861328,140.42755
2023-02-01,145.42999267578125,143.24666
2023-02-02,150.82000732421875,145.2689
2023-02-03,154.5,149.06754
2023-02-06,151.72999572753906,153.91434
2023-02-07,154.64999389648438,151.62733
2023-02-08,151.9199981689453,154.24887
2023-02-09,150.8699951171875,151.29182
2023-02-10,151.00999450683594,146.22023
2023-02-13,153.85000610351562,148.25749
2023-02-14,153.1999969482422,151.06413
2023-02-15,155.3300018310547,152.26607
2023-02-16,153.7100067138672,154.3491
2023-02-17,152.5500030517578,154.00125
2023-02-21,148.47999572753906,152.21536
2023-02-22,148.91000366210938,147.04213
2023-02-23,149.39999389648438,146.95317
2023-02-24,146.7100067138672,147.33572
2023-02-27,147.9199981689453,146.1391
2023-02-28,147.41000366210938,146.3481
2023-03-01,145.30999755859375,145.92758
2023-03-02,145.91000366210938,145.17946
2023-03-03,151.02999877929688,146.08057
2023-03-06,153.8300018310547,150.89368
2023-03-07,151.60000610351562,153.00694
2023-03-08,152.8699951171875,152.48157
2023-03-09,150.58999633789062,152.84908
2023-03-10,148.5,150.99313
2023-03-13,150.47000122070312,149.54904
2023-03-14,152.58999633789062,150.45287
2023-03-15,152.99000549316406,151.89911
2023-03-16,155.85000610351562,152.33853
2023-03-17,155.0,154.12651
2023-03-20,157.39999389648438,153.21225
2023-03-21,159.27999877929688,154.49307
2023-03-22,157.8300018310547,156.62904
2023-03-23,158.92999267578125,155.66574
2023-03-24,160.25,156.37994
2023-03-27,158.27999877929688,158.82716
2023-03-28,157.64999389648438,157.56667
2023-03-29,160.77000427246094,156.95976
2023-03-30,162.36000061035156,159.66664
2023-03-31,164.89999389648438,161.29578
2023-04-03,166.1699981689453,163.68138
2023-04-04,165.6300048828125,164.18303
2023-04-05,163.75999450683594,162.84517
2023-04-06,164.66000366210938,160.47348
2023-04-10,162.02999877929688,162.48087
2023-04-11,160.8000030517578,158.88568
2023-04-12,160.10000610351562,157.41594
2023-04-13,165.55999755859375,157.1794
2023-04-14,165.2100067138672,163.17581
2023-04-17,165.22999572753906,164.00996
2023-04-18,166.47000122070312,164.03325
2023-04-19,167.6300048828125,164.27167
2023-04-20,166.64999389648438,165.70633
2023-04-21,165.02000427246094,164.81589
2023-04-24,165.3300018310547,163.76772
2023-04-25,163.77000427246094,164.46701
2023-04-26,163.75999450683594,162.62631
2023-04-27,168.41000366210938,163.0682
2023-04-28,169.67999267578125,166.80096
2023-05-01,169.58999633789062,167.88464
2023-05-02,168.5399932861328,168.48389
2023-05-03,167.4499969482422,167.53734
2023-05-04,165.7899932861328,166.69055
2023-05-05,173.57000732421875,165.34781
2023-05-08,173.5,168.7871
2023-05-09,171.77000427246094,170.01547
2023-05-10,173.55999755859375,170.13544
2023-05-11,173.75,171.92697
2023-05-12,172.57000732421875,172.58234
2023-05-15,172.07000732421875,171.57129
2023-05-16,172.07000732421875,171.87318
2023-05-17,172.69000244140625,172.23862
2023-05-18,175.0500030517578,172.63661
2023-05-19,175.16000366210938,174.19432
2023-05-22,174.1999969482422,174.15656
2023-05-23,171.55999755859375,173.7595
2023-05-24,171.83999633789062,171.38191
2023-05-25,172.99000549316406,172.17229
2023-05-26,175.42999267578125,172.75192
2023-05-30,177.3000030517578,173.91837
2023-05-31,177.25,175.36188
2023-06-01,180.08999633789062,175.96007
2023-06-02,180.9499969482422,178.3616
2023-06-05,179.5800018310547,179.14569
2023-06-06,179.2100067138672,178.32039
2023-06-07,177.82000732421875,178.2678
2023-06-08,180.57000732421875,176.82184
2023-06-09,180.9600067138672,178.97798
2023-06-12,183.7899932861328,180.19183
2023-06-13,183.30999755859375,182.51535
2023-06-14,183.9499969482422,182.37169
2023-06-15,186.00999450683594,183.0386
2023-06-16,184.9199981689453,183.5665
2023-06-20,185.00999450683594,184.43503
2023-06-21,183.9600067138672,183.61125
2023-06-22,187.0,181.63095
2023-06-23,186.67999267578125,186.30411
2023-06-26,185.27000427246094,185.963
2023-06-27,188.05999755859375,185.18587
2023-06-28,189.25,186.57257
2023-06-29,189.58999633789062,188.24203
2023-06-30,193.97000122070312,188.58078
2023-07-03,192.4600067138672,192.04597
2023-07-05,191.3300018310547,190.03946
2023-07-06,191.80999755859375,188.33347
2023-07-07,190.67999267578125,189.61732
2023-07-10,188.61000061035156,189.99612
2023-07-11,188.0800018310547,187.92693
2023-07-12,189.77000427246094,186.83414
2023-07-13,190.5399932861328,188.02933
2023-07-14,190.69000244140625,189.33122
2023-07-17,193.99000549316406,190.39969
2023-07-18,193.72999572753906,193.14566
2023-07-19,195.10000610351562,192.65094
2023-07-20,193.1300048828125,193.16518
2023-07-21,191.94000244140625,191.19795
2023-07-24,192.75,190.3609
2023-07-25,193.6199951171875,191.40764
2023-07-26,194.5,192.5083
2023-07-27,193.22000122070312,193.13635
2023-07-28,195.8300018310547,192.39774
2023-07-31,196.4499969482422,194.82056
2023-08-01,195.61000061035156,195.65982
2023-08-02,192.5800018310547,195.29022
2023-08-03,191.1699981689453,193.1783
2023-08-04,181.99000549316406,191.68042
2023-08-07,178.85000610351562,182.35413
2023-08-08,179.8000030517578,179.08139
2023-08-09,178.19000244140625,180.04306
2023-08-10,177.97000122070312,179.39992
2023-08-11,177.7899932861328,179.76865
2023-08-14,179.4600067138672,180.23657
2023-08-15,177.4499969482422,183.98044
2023-08-16,176.57000732421875,178.04187
2023-08-17,174.0,176.07379
2023-08-18,174.49000549316406,173.2355
2023-08-21,175.83999633789062,173.71431
2023-08-22,177.22999572753906,174.85385
