ds,y_actual,y_predicted
2023-01-31,144.2899932861328,140.44705
2023-02-01,145.42999267578125,143.27422
2023-02-02,150.82000732421875,145.29051
2023-02-03,154.5,149.09167
2023-02-06,151.72999572753906,153.94092
2023-02-07,154.64999389648438,151.65108
2023-02-08,151.9199981689453,154.27596
2023-02-09,150.8699951171875,151.324
2023-02-10,151.00999450683594,146.2425
2023-02-13,153.85000610351562,148.2772
2023-02-14,153.1999969482422,151.08812
2023-02-15,155.3300018310547,152.29228
2023-02-16,153.7100067138672,154.37366
2023-02-17,152.5500030517578,154.02463
2023-02-21,148.47999572753906,152.23714
2023-02-22,148.91000366210938,147.06004
2023-02-23,149.39999389648438,146.97044
2023-02-24,146.7100067138672,147.35394
2023-02-27,147.9199981689453,146.15575
2023-02-28,147.41000366210938,146.3675
2023-03-01,145.30999755859375,145.94362
2023-03-02,145.91000366210938,145.19475
2023-03-03,151.02999877929688,146.09364
2023-03-06,153.8300018310547,150.90437
2023-03-07,151.60000610351562,153.01727
2023-03-08,152.8699951171875,152.49205
2023-03-09,150.58999633789062,152.8585
2023-03-10,148.5,151.00122
2023-03-13,150.47000122070312,149.5588
2023-03-14,152.58999633789062,150.4611
2023-03-15,152.99000549316406,151.90782
2023-03-16,155.85000610351562,152.3477
2023-03-17,155.0,154.13707
2023-03-20,157.39999389648438,153.22514
2023-03-21,159.27999877929688,154.50575
2023-03-22,157.8300018310547,156.6429
2023-03-23,158.92999267578125,155.68098
2023-03-24,160.25,156.39575
2023-03-27,158.27999877929688,158.8452
2023-03-28,157.64999389648438,157.58585
2023-03-29,160.77000427246094,156.97781
2023-03-30,162.36000061035156,159.68626
2023-03-31,164.89999389648438,161.31784
2023-04-03,166.1699981689453,163.69452
2023-04-04,165.6300048828125,164.19962
2023-04-05,163.75999450683594,162.86226
2023-04-06,164.66000366210938,160.48965
2023-04-10,162.02999877929688,162.49875
2023-04-11,160.8000030517578,158.90065
2023-04-12,160.10000610351562,157.43149
2023-04-13,165.55999755859375,157.19366
2023-04-14,165.2100067138672,163.19325
2023-04-17,165.22999572753906,164.02246
2023-04-18,166.47000122070312,164.04588
2023-04-19,167.6300048828125,164.28285
2023-04-20,166.64999389648438,165.71753
2023-04-21,165.02000427246094,164.82928
2023-04-24,165.3300018310547,163.78014
2023-04-25,163.77000427246094,164.47688
2023-04-26,163.75999450683594,162.63791
2023-04-27,168.41000366210938,163.07999
2023-04-28,169.67999267578125,166.80951
2023-05-01,169.58999633789062,167.89365
2023-05-02,168.5399932861328,168.49362
2023-05-03,167.4499969482422,167.54642
2023-05-04,165.7899932861328,166.69939
2023-05-05,173.57000732421875,165.35806
2023-05-08,173.5,168.79922
2023-05-09,171.77000427246094,170.02719
2023-05-10,173.55999755859375,170.15039
2023-05-11,173.75,171.94365
2023-05-12,172.57000732421875,172.60007
2023-05-15,172.07000732421875,171.58698
2023-05-16,172.07000732421875,171.88884
2023-05-17,172.69000244140625,172.25479
2023-05-18,175.0500030517578,172.65253
2023-05-19,175.16000366210938,174.21141
2023-05-22,174.1999969482422,174.17375
2023-05-23,171.55999755859375,173.77615
2023-05-24,171.83999633789062,171.39708
2023-05-25,172.99000549316406,172.18622
2023-05-26,175.42999267578125,172.76581
2023-05-30,177.3000030517578,173.93127
2023-05-31,177.25,175.37607
2023-06-01,180.08999633789062,175.97151
2023-06-02,180.9499969482422,178.37535
2023-06-05,179.5800018310547,179.1566
2023-06-06,179.2100067138672,178.33055
2023-06-07,177.82000732421875,178.27963
2023-06-08,180.57000732421875,176.83154
2023-06-09,180.9600067138672,178.99112
2023-06-12,183.7899932861328,180.20718
2023-06-13,183.30999755859372,182.53044
2023-06-14,183.9499969482422,182.3881
2023-06-15,186.00999450683597,183.05505
2023-06-16,184.9199981689453,183.58145
2023-06-20,185.00999450683597,184.44582
2023-06-21,183.9600067138672,183.62505
2023-06-22,187.0,181.64381
2023-06-23,186.67999267578125,186.3219
2023-06-26,185.2700042724609,185.97713
2023-06-27,188.05999755859372,185.19966
2023-06-28,189.25,186.58717
2023-06-29,189.58999633789065,188.25725
2023-06-30,193.97000122070312,188.59607
2023-07-03,192.4600067138672,192.05766
2023-07-05,191.3300018310547,190.05322
2023-07-06,191.80999755859372,188.3464
2023-07-07,190.67999267578125,189.63477
2023-07-10,188.6100006103516,190.00664
2023-07-11,188.0800018310547,187.93843
2023-07-12,189.7700042724609,186.8465
2023-07-13,190.5399932861328,188.04219
2023-07-14,190.69000244140625,189.34341
2023-07-17,193.9900054931641,190.4109
2023-07-18,193.72999572753903,193.15538
2023-07-19,195.1000061035156,192.66092
2023-07-20,193.1300048828125,193.17743
2023-07-21,191.94000244140625,191.2097
2023-07-24,192.75,190.36942
2023-07-25,193.6199951171875,191.4164
2023-07-26,194.5,192.51762
2023-07-27,193.22000122070312,193.14433
2023-07-28,195.8300018310547,192.40565
2023-07-31,196.4499969482422,194.827
2023-08-01,195.6100006103516,195.66678
2023-08-02,192.5800018310547,195.29819
2023-08-03,191.1699981689453,193.18637
2023-08-04,181.9900054931641,191.68904
2023-08-07,178.85000610351562,182.36644
2023-08-08,179.8000030517578,179.09712
2023-08-09,178.19000244140625,180.06311
2023-08-10,177.97000122070312,179.42082
2023-08-11,177.7899932861328,179.79344
2023-08-14,179.4600067138672,180.25932
2023-08-15,177.4499969482422,184.00214
2023-08-16,176.57000732421875,178.0736
2023-08-17,174.0,176.10924
2023-08-18,174.49000549316406,173.27509
2023-08-21,175.83999633789062,173.75656
2023-08-22,177.22999572753906,174.89548
